2.8;144.8;-2.70;1.04;0.71;300.50
2.756;154.6;-2.43;1.29;0.50;299.98
2.877;156.9;-2.52;1.50;0.65;300.36
2.704;153.4;-2.49;1.32;0.71;300.54
3.077;140.3;-3.03;1.02;0.67;300.37
3.255;151;-2.96;1.56;0.68;300.38
3.564;142.3;-3.41;1.29;0.62;300.37
3.611;147;-3.44;1.55;0.66;300.57
4.186;149.6;-3.80;2.17;0.64;300.37
4.693;125.9;-4.93;0.84;0.69;300.23
3.925;144.9;-3.80;1.79;0.57;300.36
4.058;144.6;-3.76;1.74;0.61;300.32
3.761;135.1;-3.86;1.02;0.58;300.43
4.22;128.3;-4.36;0.96;0.58;300.35
4.337;129.5;-4.51;0.97;0.59;300.50
4.779;113.1;-5.29;0.06;0.61;300.31
4.473;125.3;-4.74;0.75;0.58;300.48
4.578;136.1;-4.69;1.57;0.52;300.32
4.659;140.1;-4.69;1.81;0.46;300.53
4.563;134.6;-4.76;1.36;0.49;300.47
4.099;124.2;-4.35;0.64;0.62;300.81
5.193;124.5;-5.44;0.98;0.56;300.46
3.972;135.3;-4.04;1.26;0.58;300.90
4.359;130.3;-4.44;1.16;0.65;300.61
4.413;141.2;-4.42;1.80;0.56;300.60
4.625;132.8;-4.66;1.30;0.64;300.64
4.486;121.1;-4.69;0.50;0.72;300.78
4.827;131.5;-4.95;1.31;0.54;300.70
4.406;138.8;-4.35;1.63;0.69;300.72
4.459;125.3;-4.70;0.89;0.62;300.45
4.702;136.9;-4.78;1.70;0.50;300.46
4.381;127.6;-4.61;0.77;0.63;300.58
4.239;135.1;-4.33;1.27;0.53;300.67
4.072;127.9;-4.31;0.87;0.58;300.66
4.052;128.8;-4.26;0.91;0.56;300.57
3.507;123.2;-3.83;0.52;0.67;300.45
3.977;134.2;-4.19;1.16;0.52;300.34
4.444;139.8;-4.52;1.79;0.54;300.27
3.721;138.4;-3.83;1.31;0.65;300.26
3.87;142.8;-3.84;1.58;0.55;300.33
3.84;145;-3.67;1.71;0.59;300.37
3.869;148.1;-3.68;1.88;0.58;300.37
3.077;146.8;-2.93;1.29;0.63;300.39
2.635;166.1;-1.98;1.64;0.59;300.40
2.251;179.3;-1.36;1.56;0.61;300.41
3.015;175;-1.86;2.21;0.57;300.08
2.547;169;-1.77;1.62;0.58;300.31
2.664;190.7;-1.12;2.16;0.34;300.25
2.457;181.1;-1.39;1.70;0.57;300.38
2.515;186.2;-1.28;1.90;0.45;300.40
2.961;192;-1.11;2.48;0.34;300.10
2.663;185.3;-1.22;2.16;0.37;299.75
2.464;179.5;-1.44;1.85;0.53;299.59
2.682;180.2;-1.44;2.13;0.52;299.47
1.981;171.3;-1.56;1.21;0.57;299.43
2.284;178.8;-1.31;1.62;0.59;299.31
2.385;179.6;-1.46;1.78;0.55;299.28
1.543;175.1;-1.14;0.89;0.58;299.10
1.976;163.3;-1.69;1.09;0.56;299.08
2.508;157.5;-2.24;1.33;0.58;299.04
2.036;168.4;-1.63;1.23;0.52;298.95
1.988;179.8;-1.21;1.45;0.57;298.88
1.895;182.2;-1.16;1.38;0.53;298.90
1.972;182;-1.19;1.42;0.45;298.83
2.006;179.6;-1.24;1.34;0.45;298.61
2.304;182.9;-1.25;1.77;0.42;298.62
2.328;180.4;-1.31;1.75;0.47;298.64
1.813;183.6;-1.01;1.23;0.48;298.79
1.485;207.2;-0.45;0.94;0.43;298.59
