"TIMESTAMP","RECORD","batt_volt_Min","radi_Avg","radi_Std"
"2019-08-14 14:35:50",120709,13.85,1.259,0.357
"2019-08-14 14:36:00",120710,13.85,323.3,321.7
"2019-08-14 14:36:10",120711,13.85,643.6,0.663
"2019-08-14 14:36:20",120712,13.85,642.4,0.625
"2019-08-14 14:36:30",120713,13.85,642.6,0.994
"2019-08-14 14:36:40",120714,13.85,642.9,1.186
"2019-08-14 14:36:50",120715,13.85,643.2,1.156
"2019-08-14 14:37:00",120716,13.85,385.6,313.7
"2019-08-14 14:37:10",120717,13.85,6.96,2.983
"2019-08-14 14:37:20",120718,13.85,48.65,8.99
"2019-08-14 14:37:30",120719,13.85,45.94,0.596
"2019-08-14 14:37:40",120720,13.85,45.07,0
"2019-08-14 14:37:50",120721,13.85,45.74,0.663
"2019-08-14 14:38:00",120722,13.85,46.53,0.398
"2019-08-14 14:38:10",120723,13.85,49.52,0.841
"2019-08-14 14:38:20",120724,13.85,6.496,15.09
"2019-08-14 14:38:30",120725,13.85,1.525,0.304
"2019-08-14 14:38:40",120726,13.85,407.3,331.3
"2019-08-14 14:38:50",120727,13.85,680.9,1.018
"2019-08-14 14:39:00",120728,13.85,683.7,1.119
"2019-08-14 14:39:10",120729,13.85,687.4,1.222
"2019-08-14 14:39:20",120730,13.85,690.7,1.326
"2019-08-14 14:39:30",120731,13.85,693.3,0.784
"2019-08-14 14:39:40",120732,13.85,349.4,345.7
"2019-08-14 14:39:50",120733,13.85,0.994,0.611
"2019-08-14 14:40:00",120734,13.85,28.83,24.23
"2019-08-14 14:40:10",120735,13.85,48.92,0.265
"2019-08-14 14:40:20",120736,13.85,49.05,0
"2019-08-14 14:40:30",120737,13.85,49.98,0.44
"2019-08-14 14:40:40",120738,13.85,50.31,0.199
"2019-08-14 14:40:50",120739,13.85,50.71,0.534
"2019-08-14 14:41:00",120740,13.84,27.31,25.48
"2019-08-14 14:41:10",120741,13.85,1.392,0.199
"2019-08-14 14:41:20",120742,13.84,654.4,217.5
"2019-08-14 14:41:30",120743,13.85,732.2,1.808
"2019-08-14 14:41:40",120744,13.84,738,2.097
"2019-08-14 14:41:50",120745,13.84,743.3,1.758
"2019-08-14 14:42:00",120746,13.84,748,0.947
"2019-08-14 14:42:10",120747,13.84,747.5,1.625
"2019-08-14 14:42:20",120748,13.84,76.1,221.7
"2019-08-14 14:42:30",120749,13.84,31.42,24.24
"2019-08-14 14:42:40",120750,13.84,54.55,0.304
"2019-08-14 14:42:50",120751,13.84,54.62,0.992
"2019-08-14 14:43:00",120752,13.84,52.1,1.035
"2019-08-14 14:43:10",120753,13.84,52.5,0.649
"2019-08-14 14:43:20",120754,13.84,47.99,1.759
"2019-08-14 14:43:30",120755,13.84,30.76,25.88
"2019-08-14 14:43:40",120756,13.84,1.326,0.784
"2019-08-14 14:43:50",120757,13.84,0.729,0.199
"2019-08-14 14:44:00",120758,13.84,0.663,0
"2019-08-14 14:44:10",120759,13.84,0.663,0
"2019-08-14 14:44:20",120760,13.84,0.729,0.357
"2019-08-14 14:44:30",120761,13.84,1.127,0.597
"2019-08-14 14:44:40",120762,13.84,0.464,0.304
"2019-08-14 14:44:50",120763,13.84,0.862,0.597
"2019-08-14 14:45:00",120764,13.84,0.265,0.325
"2019-08-14 14:45:10",120765,13.84,0.199,0.304
"2019-08-14 14:45:20",120766,13.84,0.53,0.265
"2019-08-14 14:45:30",120767,13.84,0.398,0.325
"2019-08-14 14:45:40",120768,13.84,0.464,0.304
"2019-08-14 14:45:50",120769,13.84,0.265,0.325
"2019-08-14 14:46:00",120770,13.82,0.398,0.325
"2019-08-14 14:46:10",120771,13.81,0.199,0.304
"2019-08-14 14:46:20",120772,13.8,0.331,0.331
"2019-08-14 14:46:30",120773,13.8,0.53,0.265
"2019-08-14 14:46:40",120774,13.79,0.265,0.325
"2019-08-14 14:46:50",120775,13.78,0.53,0.265
"2019-08-14 14:47:00",120776,13.78,0.398,0.325
"2019-08-14 14:47:10",120777,13.77,0.265,0.325
"2019-08-14 14:47:20",120778,13.77,0.066,0.199
"2019-08-14 14:47:30",120779,13.76,0.199,0.304
"2019-08-14 14:47:40",120780,13.76,0.597,0.199
"2019-08-14 14:47:50",120781,13.75,0.265,0.325
"2019-08-14 14:48:00",120782,13.75,0.398,0.325
"2019-08-14 14:48:10",120783,13.74,0.066,0.199
"2019-08-14 14:48:20",120784,13.74,0.066,0.199
"2019-08-14 14:48:30",120785,13.74,0.199,0.304
"2019-08-14 14:48:40",120786,13.73,0.265,0.325
"2019-08-14 14:48:50",120787,13.73,0.53,0.265
"2019-08-14 14:49:00",120788,13.73,0.663,0
"2019-08-14 14:49:10",120789,13.72,0.663,0
"2019-08-14 14:49:20",120790,13.71,0.597,0.199
"2019-08-14 14:49:30",120791,13.71,0.133,0.265
"2019-08-14 14:49:40",120792,13.71,0.133,0.265
"2019-08-14 14:49:50",120793,13.71,0,0
"2019-08-14 14:50:00",120794,13.7,0.331,0.331
"2019-08-14 14:50:10",120795,13.7,0.663,0
"2019-08-14 14:50:20",120796,13.7,0.597,0.199
"2019-08-14 14:50:30",120797,13.69,0.133,0.265
"2019-08-14 14:50:40",120798,13.69,0.53,0.265
"2019-08-14 14:50:50",120799,13.69,0.53,0.265
"2019-08-14 14:51:00",120800,13.68,0.398,0.325
"2019-08-14 14:51:10",120801,13.68,0.199,0.304
"2019-08-14 14:51:20",120802,13.68,0.066,0.199
"2019-08-14 14:51:30",120803,13.68,0.464,0.304
"2019-08-14 14:51:40",120804,13.67,0.464,0.304
"2019-08-14 14:51:50",120805,13.67,0.331,0.331
"2019-08-14 14:52:00",120806,13.67,0.597,0.357
"2019-08-14 14:52:10",120807,13.67,0.795,0.398
"2019-08-14 14:52:20",120808,13.66,0.597,0.199
"2019-08-14 14:52:30",120809,13.66,52.56,79.28
"2019-08-14 14:52:40",120810,13.65,0.795,0.265
"2019-08-14 14:52:50",120811,13.65,19.49,56.47
"2019-08-14 14:53:00",120812,13.65,175.7,4.587
"2019-08-14 14:53:10",120813,13.65,165.2,1.876
"2019-08-14 14:53:20",120814,13.64,160.1,1.193
"2019-08-14 14:53:30",120815,13.64,157.2,1.061
"2019-08-14 14:53:40",120816,13.64,152.8,0.332
"2019-08-14 14:53:50",120817,13.64,152.5,0
"2019-08-14 14:54:00",120818,13.69,152.7,0.44
"2019-08-14 14:54:10",120819,13.71,153.8,0.199
"2019-08-14 14:54:20",120820,13.72,155.4,0.534
"2019-08-14 14:54:30",120821,13.74,157.2,0.625
"2019-08-14 14:54:40",120822,13.75,159.6,0.649
"2019-08-14 14:54:50",120823,13.76,162.1,0.902
"2019-08-14 14:55:00",120824,13.77,164.8,0.849
"2019-08-14 14:55:10",120825,13.79,167.8,0.753
"2019-08-14 14:55:20",120826,13.8,170.5,0.841
"2019-08-14 14:55:30",120827,13.82,173.7,1.027
"2019-08-14 14:55:40",120828,13.84,177.6,1.466
"2019-08-14 14:55:50",120829,13.85,182.7,1.656
"2019-08-14 14:56:00",120830,13.84,188.6,2.058
"2019-08-14 14:56:10",120831,13.85,195.3,1.832
"2019-08-14 14:56:20",120832,13.84,202.3,1.893
"2019-08-14 14:56:30",120833,13.84,200.2,1.027
"2019-08-14 14:56:40",120834,13.84,198.3,0.551
"2019-08-14 14:56:50",120835,13.84,199.8,1.332
"2019-08-14 14:57:00",120836,13.84,286.9,83.9
"2019-08-14 14:57:10",120837,13.84,581.5,42.18
"2019-08-14 14:57:20",120838,13.84,617.4,0.738
"2019-08-14 14:57:30",120839,13.84,616.1,2.038
"2019-08-14 14:57:40",120840,13.84,613.8,0
"2019-08-14 14:57:50",120841,13.84,1.326,1.988
"2019-08-14 14:58:00",120842,13.84,1.061,0.607
"2019-08-14 14:58:10",120843,13.84,2.254,0.53
"2019-08-14 14:58:20",120844,13.85,3.049,0.992
"2019-08-14 14:58:30",120845,13.84,420.6,274
"2019-08-14 14:58:40",120846,13.85,602.8,2.203
"2019-08-14 14:58:50",120847,13.85,605.8,0.663
"2019-08-14 14:59:00",120848,13.85,603.6,1.392
"2019-08-14 14:59:10",120849,13.85,607.7,0.928
"2019-08-14 14:59:20",120850,13.85,586.3,13
"2019-08-14 14:59:30",120851,13.85,527.3,24.88
"2019-08-14 14:59:40",120852,13.84,1.127,0.518
