"DateTime";"FLORIANOPOLIS"
"2021-01-15 09:00:00";297
"2021-01-15 10:00:00";331
"2021-01-15 11:00:00";172
"2021-01-15 12:00:00";241
"2021-01-15 13:00:00";130
"2021-01-15 14:00:00";13
"2021-01-15 15:00:00";28
"2021-01-15 16:00:00";40
"2021-01-15 17:00:00";39
"2021-01-15 18:00:00";18
"2021-01-15 19:00:00";2
"2021-01-15 20:00:00";9
"2021-01-15 21:00:00";360
"2021-01-15 22:00:00";11
"2021-01-15 23:00:00";5
"2021-01-16 00:00:00";356
"2021-01-16 01:00:00";11
"2021-01-16 02:00:00";23
"2021-01-16 03:00:00";40
"2021-01-16 04:00:00";31
"2021-01-16 05:00:00";8
"2021-01-16 06:00:00";11
"2021-01-16 07:00:00";14
"2021-01-16 08:00:00";25
"2021-01-16 09:00:00";35
"2021-01-16 10:00:00";12
"2021-01-16 11:00:00";15
"2021-01-16 12:00:00";10
"2021-01-16 13:00:00";14
"2021-01-16 14:00:00";11
"2021-01-16 15:00:00";21
"2021-01-16 16:00:00";11
"2021-01-16 17:00:00";11
"2021-01-16 18:00:00";18
"2021-01-16 19:00:00";23
"2021-01-16 20:00:00";21
"2021-01-16 21:00:00";22
"2021-01-16 22:00:00";21
"2021-01-16 23:00:00";12
"2021-01-17 00:00:00";23
"2021-01-17 01:00:00";14
"2021-01-17 02:00:00";349
"2021-01-17 03:00:00";319
"2021-01-17 04:00:00";330
"2021-01-17 05:00:00";16
"2021-01-17 06:00:00";354
"2021-01-17 07:00:00";258
"2021-01-17 08:00:00";278
"2021-01-17 09:00:00";261
"2021-01-17 10:00:00";359
"2021-01-17 11:00:00";351
"2021-01-17 12:00:00";4
"2021-01-17 13:00:00";33
"2021-01-17 14:00:00";19
"2021-01-17 15:00:00";20
"2021-01-17 16:00:00";22
"2021-01-17 17:00:00";29
"2021-01-17 18:00:00";31
"2021-01-17 19:00:00";13
"2021-01-17 20:00:00";13
"2021-01-17 21:00:00";335
"2021-01-17 22:00:00";263
"2021-01-17 23:00:00";273
"2021-01-18 00:00:00";257
"2021-01-18 01:00:00";301
"2021-01-18 02:00:00";282
"2021-01-18 03:00:00";347
"2021-01-18 04:00:00";268
"2021-01-18 05:00:00";288
"2021-01-18 06:00:00";264
"2021-01-18 07:00:00";167
"2021-01-18 08:00:00";163
"2021-01-18 09:00:00";145
"2021-01-18 10:00:00";153
"2021-01-18 11:00:00";161
"2021-01-18 12:00:00";154
"2021-01-18 13:00:00";153
"2021-01-18 14:00:00";156
"2021-01-18 15:00:00";170
"2021-01-18 16:00:00";149
"2021-01-18 17:00:00";156
"2021-01-18 18:00:00";177
"2021-01-18 19:00:00";161
"2021-01-18 20:00:00";148
"2021-01-18 21:00:00";149
"2021-01-18 22:00:00";148
"2021-01-18 23:00:00";154
"2021-01-19 00:00:00";148
"2021-01-19 01:00:00";149
"2021-01-19 02:00:00";159
"2021-01-19 03:00:00";153
"2021-01-19 04:00:00";156
"2021-01-19 05:00:00";153
"2021-01-19 06:00:00";146
"2021-01-19 07:00:00";150
"2021-01-19 08:00:00";153
"2021-01-19 09:00:00";150
"2021-01-19 10:00:00";153
"2021-01-19 11:00:00";147
"2021-01-19 12:00:00";165
"2021-01-19 13:00:00";146
"2021-01-19 14:00:00";143
"2021-01-19 15:00:00";166
"2021-01-19 16:00:00";167
"2021-01-19 17:00:00";142
"2021-01-19 18:00:00";207
"2021-01-19 19:00:00";159
"2021-01-19 20:00:00";145
"2021-01-19 21:00:00";143
"2021-01-19 22:00:00";148
"2021-01-19 23:00:00";150
"2021-01-20 00:00:00";152
"2021-01-20 01:00:00";153
"2021-01-20 02:00:00";161
"2021-01-20 03:00:00";162
"2021-01-20 04:00:00";157
"2021-01-20 05:00:00";171
"2021-01-20 06:00:00";160
"2021-01-20 07:00:00";234
"2021-01-20 08:00:00";255
"2021-01-20 09:00:00";243
"2021-01-20 10:00:00";231
"2021-01-20 11:00:00";194
