Nivel de qualidade,Data,Hora UTC,Incerteza UTC,Lat,Lon,Incerteza Local ,Município ,Estado,Fenomeno,Itensidade,Informativo
3,20200610,2045,15,-268.251,-535.032,1,Descanso,SC,TOR,0.0,"Horário estimado por transmissão ao vivo pelo Facebook e radar de Chapecó. 16 pessoas feridas. Decretado Estado de Calamidade Pública. 915 pessoas atingidas. Estruturas destruídas: 261 moradias, 44 moradias no interior, 5 estabelecimentos comerciais e 17 benfeitorias em propriedades rurais. 1 ginásio e o prédio da prefeitura. Pontes, pontilhões e estradas destruídas também pela enxurrada. Prejuízos passam de R$ 6,2 milhões. Bairro Antônio Heck mais afetado. Partes da cidade atingida: bairro Antônio Rech, loteamento Uczai, loteamento Jardim Itália, parte do centro da cidade, saída para as linhas Gaúcha, Pratinha e Campinas. http://agenciaal.alesc.sc.gov.br/index.php/noticia_single/bancada-do-oeste-debate-situacaeo-de-municipios-atingidos-por-tornado#!prettyPhoto, https://www.facebook.com/watch/?v=257705092316413, https://www.facebook.com/portalpeperi/videos/533334324215785/?v=533334324215785, https://www.portalminhadescanso.com.br/noticia/1754/em-torno-de-280-edificacoes-foram-danificadas-pelo-forte-temporal, https://ndmais.com.br/noticias/video-moradora-registra-estragos-e-destruicao-na-cidade-de-descanso/, https://www.facebook.com/watch/?v=626450911551855, https://www.facebook.com/watch/live/?v=869116780266238&ref=watch_permalink, https://www.peperi.com.br/noticias/10-06-2020-so-pode-ter-sido-um-tornado-diz-morador-apos-temporal-em-descanso/, https://www.peperi.com.br/noticias/10-06-2020-so-pode-ter-sido-um-tornado-diz-morador-apos-temporal-em-descanso/, https://www.diariodoiguacu.com.br/noticias/detalhes/temporal-destroi-árvores-e-destelha-edificacoes-entre-belmonte-e-descanso-55787, https://www.jornaldafronteira.com.br/descanso-deve-decretar-estado-de-calamidade-publica-nesta-quinta-feira/, https://www.jornaldafronteira.com.br/pelo-menos-16-pessoas-ficaram-feridas-durante-o-tornado-em-descanso/, https://trespassosnews.com.br/video-casa-desaba-sobre-familia-durante-tornado-no-extremo-oeste/, https://wh3.com.br/noticia/199431/comunidade-descansense-reconstroi-residencias-e-edificacoes-atingidas-por-tornado.html, https://ndmais.com.br/videos/balanco-geral-florianopolis/vento-e-chuva-causam-estragos-em-cidades-do-oeste/"
1,20200610,2045,15,-268.391,-535.295,0.1,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Mata decepada.  Observado por satélite ambiental.
1,20200610,2045,15,-268.373,-535.253,0.1,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Matas decepasas e galpão destruído. Observado por satélite ambiental.
1,20200610,2045,15,-268.327,-535.196,0.1,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Matas decepasas e galpão destruído. Observado por satélite ambiental.
1,20200610,2045,15,-268.349,-535.142,0.1,Descanso,SC,TOR,0.0,"Horário estimado pelo radar. Danos na Linha Macaco Branco. Vacas e aves morreram. Algumas casas de madeira perderam todas as paredes. Dezenas de árvores decepadas. Destroços jogados em todas as direções. Danos tambem na Linha São Valentim. https://www.portalminhadescanso.com.br/noticia/1750/propriedades-rurais-tambem-sao-destruidas-pelo-tornado, https://www.tvgc.com.br/noticia/27887/%22foram-segundos-o-vento-levou-tudo%22-revela-fam%C3%ADlia-sobre-tornado-no-interior-de-descanso.html"
1,20200610,2045,15,-268.330,-535.121,0.1,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Matas decepasas e galpão destruído. Observado por satélite ambiental.
1,20200610,2045,15,-268.285,-534.895,0.1,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Mata decepada.  Observado por satélite ambiental.
1,20200610,2045,15,-268.275,-534.831,0.3,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Mata decepada.  Observado por satélite ambiental.
1,20200610,2050,15,-268.223,-534.683,0.5,Descanso,SC,TOR,0.0,"Horário estimado pelo radar. Danos na Linha Pratinha. Diversas casas destelhadas, um salão e uma igreja. Queda de muros e vidros quebrados, árvores arrancadas. https://www.progresso.am.br/post/112231/interior-de-descanso-tambem-apresenta-estragos-causados-pelo-tornado.html"
1,20200610,2050,15,-268.193,-534.579,0.5,Descanso,SC,TOR,0.0,Horário estimado pelo radar. Galpão colapsado.  Observado por satélite ambiental. Aviários destruídos na Linha Alegre. https://www.portalminhadescanso.com.br/noticia/1750/propriedades-rurais-tambem-sao-destruidas-pelo-tornado
