cod;nome;período;valor
31;MG;2006;4177
32;ES;2006;1762
33;RJ;2006;7389
35;SP;2006;8377
41;PR;2006;3098
42;SC;2006;666
53;DF;2006;660
43;RS;2006;1983
50;MS;2006;683
51;MT;2006;896
25;PB;2007;864
53;DF;2007;711
52;GO;2007;1521
51;MT;2007;889
50;MS;2007;710
43;RS;2007;2199
42;SC;2007;632
41;PR;2007;3105
35;SP;2007;6437
33;RJ;2007;6551
32;ES;2007;1877
31;MG;2007;4125
29;BA;2007;3659
28;SE;2007;522
27;AL;2007;1836
26;PE;2007;4557
24;RN;2007;589
23;CE;2007;1933
22;PI;2007;383
21;MA;2007;1127
17;TO;2007;226
16;AP;2007;172
15;PA;2007;2194
14;RR;2007;116
13;AM;2007;715
12;AC;2007;137
11;RO;2007;432
53;DF;2008;812
11;RO;2008;480
12;AC;2008;133
13;AM;2008;830
14;RR;2008;105
15;PA;2008;2860
16;AP;2008;210
17;TO;2008;237
21;MA;2008;1277
22;PI;2008;361
23;CE;2008;2019
24;RN;2008;714
25;PB;2008;1029
26;PE;2008;4446
27;AL;2008;1887
28;SE;2008;555
29;BA;2008;4819
31;MG;2008;3889
32;ES;2008;1947
33;RJ;2008;5662
35;SP;2008;6332
41;PR;2008;3445
42;SC;2008;802
43;RS;2008;2380
50;MS;2008;699
51;MT;2008;937
52;GO;2008;1792
15;PA;2009;2989
11;RO;2009;538
12;AC;2009;153
13;AM;2009;916
14;RR;2009;118
16;AP;2009;190
17;TO;2009;289
21;MA;2009;1398
22;PI;2009;385
23;CE;2009;2165
24;RN;2009;800
25;PB;2009;1263
26;PE;2009;3963
27;AL;2009;1873
28;SE;2009;653
29;BA;2009;5432
31;MG;2009;3742
32;ES;2009;1985
33;RJ;2009;5365
35;SP;2009;6557
41;PR;2009;3698
42;SC;2009;820
43;RS;2009;2242
50;MS;2009;725
51;MT;2009;1000
52;GO;2009;1902
53;DF;2009;882
27;AL;2010;2087
53;DF;2010;786
52;GO;2010;1979
51;MT;2010;972
50;MS;2010;656
43;RS;2010;2085
42;SC;2010;823
41;PR;2010;3586
35;SP;2010;6039
33;RJ;2010;5667
32;ES;2010;1792
31;MG;2010;3646
29;BA;2010;5844
28;SE;2010;676
11;RO;2010;546
12;AC;2010;165
13;AM;2010;1082
14;RR;2010;121
15;PA;2010;3521
16;AP;2010;260
17;TO;2010;327
21;MA;2010;1519
22;PI;2010;411
