ID;Estação;latitude;longitude;altitude
83088;SENHOR DO BONFIM;-10.46;-40.18;558
83089;MARICA;-22.92;-42.83;4
83090;MONTE SANTO;-10.44;-39.33;464
83095;ARACAJU AEROPORTO;-10.99;-37.07;9
83096;ARACAJU;-10.95;-37.05;5
83097;PROPRIA;-10.21;-36.84;19
83098;CORURIPE;-10.15;-36.17;56
83100;CACOAL;-11.42;-61.5;305
83103;CAMPOS DOS GOYTACAZES;-21.7;-41.3;17
83111;RIO/JACAREPAGUA;-22.97;-43.37;375
83112;JUIZ DE FORA;-21.79;-43.39;911
83114;IGUABA GRANDE;-22.85;-42.19;5
83115;SANTA CRUZ AEROPORTO;-22.93;-43.72;3
83117;ILHA RASA;-23.06;-43.15;75
83118;BARBACENA AEROPORTO;-21.27;-43.75;1,115
83156;SANTA ISABEL MOR;-11.57;-50.67;197
83179;BARRA;-11.08;-43.14;402
83182;IRECE;-11.31;-41.86;747
83184;MORRO DO CHAPEU;-11.55;-41.15;1,005
83186;JACOBINA;-11.17;-40.53;484
83190;SERRINHA;-11.67;-39;359
83192;CIPO;-11.1;-38.52;145
83194;RIO REAL;-11.48;-37.93;163
83195;ITABAIANINHA;-11.27;-37.79;208
83200;FT PRINCIPE BEIRA;-12.42;-64.38;180
83208;VILHENA AEROPORTO;-12.69;-60.11;612
83214;MATUPA;-10.25;-54.92;285
83218;RIO FERRO (GLEBA) 83218;-12.58;-54.75;480
83220;RIO XINGU;-12;-53.4;300
83221;FEIRA DE SANTANA;-12.2;-38.97;230
83222;CRUZ DAS ALMAS;-12.68;-39.09;225
83223;SAO FRANCISCO DO CONDE;-12.62;-38.67;80
83225;MATA DE S JOAO;-12.53;-38.3;28
83226;CAMACARI;-12.67;-38.32;48
83227;ITAPARICA;-12.87;-38.68;31
83228;PEIXE;-12.02;-48.54;247
83229;SALVADOR (ONDINA);-13.01;-38.51;51
83230;PITANGUEIRAS;-12.97;-38.5;66
83231;PARANA;-12.55;-47.83;255
83235;TAGUATINGA;-12.4;-46.44;604
83236;BARREIRAS;-12.16;-45.01;439
83238;PARATINGA 83238;-12.68;-43.2;422
83241;JUNDIAI;-23.2;-46.87;1,044
83242;LENCOIS;-12.56;-41.39;439
83244;ITABERABA;-12.52;-40.3;249
83248;SALVADOR AEROPORTO;-12.91;-38.33;6
83249;ALAGOINHAS;-12.15;-38.43;131
83257;PORANGATU;-13.4;-49.16;366
83262;UTIARITI;-13.03;-58.23;386
83264;GLEBA CELESTE;-12.2;-56.5;415
83267;SAO JOSE DO RIO CLARO;-13.45;-56.68;350
83270;CANARANA;-13.5;-52.5;430
83286;CORRENTINA;-13.33;-44.62;587
83288;BOM JESUS DA LAPA;-13.25;-43.41;440
83289;BOM JESUS DA LAPA AEROPORTO;-13.27;-43.4;439
83292;ITUACU;-13.81;-41.3;531
83295;ITIRUCU (JAGUAQUARA);-13.53;-40.12;755
83297;S ANTONIO JESUS;-12.97;-39.27;200
83302;ALCOMAT;-14.25;-59.25;690
83309;DIAMANTINO;-14.41;-56.45;286
83310;ROSARIO DO OESTE;-14.82;-56.42;260
