ID,ano,mes,dia,Precipitacao,TempMedia,TempMaxima,TempMinima,URMedia
29,1961.0,1.0,30.0,0.0,21.68,28.4,16.0,63.25
30,1961.0,1.0,31.0,0.0,23.72,31.0,18.8,59.5
31,1961.0,2.0,1.0,0.0,24.84,32.2,20.2,57.0
32,1961.0,2.0,2.0,8.4,21.34,27.8,17.7,82.25
33,1961.0,2.0,3.0,0.0,20.8,26.4,18.2,82.5
34,1961.0,2.0,4.0,0.0,21.08,28.0,15.2,72.75
35,1961.0,2.0,5.0,0.0,20.7,26.5,18.4,85.0
36,1961.0,2.0,6.0,3.2,22.38,27.0,18.4,74.75
37,1961.0,2.0,7.0,0.0,20.74,23.1,19.4,89.75
38,1961.0,2.0,8.0,5.3,20.84,26.0,17.4,82.75
39,1961.0,2.0,9.0,0.0,20.2,27.4,15.4,78.0
40,1961.0,2.0,10.0,0.0,22.96,29.2,18.0,72.75
41,1961.0,2.0,11.0,19.7,20.56,24.6,19.0,85.75
42,1961.0,2.0,12.0,0.0,20.2,27.2,13.6,55.25
43,1961.0,2.0,13.0,0.0,18.68,23.4,16.8,82.5
44,1961.0,2.0,14.0,0.1,17.48,24.8,12.4,70.0
45,1961.0,2.0,15.0,0.0,19.68,26.8,14.2,65.0
46,1961.0,2.0,16.0,0.0,20.6,28.0,16.2,65.25
47,1961.0,2.0,17.0,0.0,20.62,26.6,16.9,85.5
48,1961.0,2.0,18.0,12.7,21.92,29.4,18.0,78.25
49,1961.0,2.0,19.0,10.0,22.7,29.7,18.4,76.25
50,1961.0,2.0,20.0,0.0,23.48,29.2,19.6,72.0
51,1961.0,2.0,21.0,0.0,22.2,30.0,19.6,81.75
52,1961.0,2.0,22.0,11.8,22.76,30.4,18.6,77.75
53,1961.0,2.0,23.0,2.7,22.06,27.4,19.1,86.0
54,1961.0,2.0,24.0,0.1,22.4,28.4,19.2,82.25
55,1961.0,2.0,25.0,0.0,23.98,30.6,20.1,80.5
56,1961.0,2.0,26.0,23.6,20.76,22.6,19.6,93.5
57,1961.0,2.0,27.0,21.9,16.32,19.6,15.0,98.0
58,1961.0,2.0,28.0,4.5,16.68,23.0,12.4,83.5
59,1961.0,3.0,1.0,0.1,19.24,26.2,14.4,75.5
60,1961.0,3.0,2.0,0.0,20.92,29.0,15.6,72.5
61,1961.0,3.0,3.0,0.0,22.72,29.6,16.6,70.0
62,1961.0,3.0,4.0,0.0,22.08,27.2,20.0,83.5
63,1961.0,3.0,5.0,63.6,15.48,20.6,13.4,95.75
64,1961.0,3.0,6.0,4.7,14.44,17.2,12.4,80.0
65,1961.0,3.0,7.0,0.0,18.96,24.4,14.0,70.0
66,1961.0,3.0,8.0,0.1,19.24,24.8,17.0,88.5
67,1961.0,3.0,9.0,8.5,21.76,27.6,17.2,82.5
68,1961.0,3.0,10.0,0.0,23.04,30.2,20.2,76.75
69,1961.0,3.0,11.0,2.3,19.64,21.2,19.0,94.25
70,1961.0,3.0,12.0,11.3,19.96,24.0,18.6,95.25
71,1961.0,3.0,13.0,38.4,18.52,19.9,17.2,93.0
72,1961.0,3.0,14.0,9.7,17.6,24.4,13.4,78.0
73,1961.0,3.0,15.0,0.0,21.72,27.8,17.0,77.5
74,1961.0,3.0,16.0,0.8,19.72,24.6,17.4,88.5
75,1961.0,3.0,17.0,80.9,13.0,17.4,11.2,99.25
76,1961.0,3.0,18.0,15.8,11.56,13.4,10.4,96.0
77,1961.0,3.0,19.0,5.6,15.48,21.2,11.4,89.75
78,1961.0,3.0,20.0,0.9,15.96,17.1,14.4,93.75
79,1961.0,3.0,21.0,47.7,17.8,22.9,13.9,80.75
80,1961.0,3.0,22.0,0.0,19.96,27.0,14.6,63.75
81,1961.0,3.0,23.0,0.0,22.24,29.9,17.3,73.5
82,1961.0,3.0,24.0,0.0,23.68,30.7,19.1,66.0
83,1961.0,3.0,25.0,0.0,20.46,28.4,17.1,90.25
84,1961.0,3.0,26.0,16.7,15.02,18.2,13.8,91.75
85,1961.0,3.0,27.0,1.5,14.32,20.2,10.8,76.25
86,1961.0,3.0,28.0,0.0,15.72,22.2,11.2,72.5
87,1961.0,3.0,29.0,0.0,17.46,23.8,12.3,63.0
88,1961.0,3.0,30.0,0.0,17.66,23.6,12.6,62.5
89,1961.0,3.0,31.0,0.0,17.5,23.2,12.9,68.25
